0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,/data_in[0] X,/data_in[1] X,/data_in[2] X,/data_in[3] X,/data_in[4] X,/data_in[5] X,/data_in[6] X,/data_in[7] X,/data_in[8] X,/data_in[9] X,/data_in[10] X,/data_in[11] X,/data_in[12] X,/data_in[13] X,/data_in[14] X,/data_in[15] X,/en[0] X,/en[1] X,/en[2] X,/en[3] X,/en[4] X,/en[5] X,/en[6] X,/en[7] X,/en[0] Y
,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,1.01E-09
,,,,,,,,,,,,,,,,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,2.02E-09
,,,,,,,,,,,,,,,,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,3.03E-09
,,,,,,,,,,,,,,,,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,4.04E-09
,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,5.05E-09
,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,6.06E-09
,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,7.07E-09
,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,8.08E-09
,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,9.09E-09
